YEAR,MONTH,DAY_OF_MONTH,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,DEP_DELAY,DEP_DELAY_NEW,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2022,7,1,AA,DFW,TX,HNL,HI,2,2,-9,0,0,,0,,,,,
2022,7,1,AA,DFW,TX,HNL,HI,72,72,79,79,0,,0,72,0,7,0,0
2022,7,1,AA,DFW,TX,OGG,HI,-9,0,-8,0,0,,0,,,,,
2022,7,1,AA,DFW,TX,OGG,HI,-3,0,5,5,0,,0,,,,,
2022,7,1,AA,HNL,HI,DFW,TX,-4,0,-16,0,0,,0,,,,,
2022,7,1,AA,HNL,HI,DFW,TX,3,3,2,2,0,,0,,,,,
2022,7,1,AA,HNL,HI,LAX,CA,-11,0,-14,0,0,,0,,,,,
2022,7,1,AA,HNL,HI,LAX,CA,-8,0,-14,0,0,,0,,,,,
2022,7,1,AA,HNL,HI,LAX,CA,-1,0,-25,0,0,,0,,,,,
2022,7,1,AA,HNL,HI,PHX,AZ,-7,0,-21,0,0,,0,,,,,
2022,7,1,AA,HNL,HI,PHX,AZ,7,7,-11,0,0,,0,,,,,
2022,7,1,AA,KOA,HI,LAX,CA,-4,0,-16,0,0,,0,,,,,
2022,7,1,AA,KOA,HI,LAX,CA,7,7,-13,0,0,,0,,,,,
2022,7,1,AA,KOA,HI,PHX,AZ,-10,0,-25,0,0,,0,,,,,
2022,7,1,AA,LAX,CA,HNL,HI,-6,0,-16,0,0,,0,,,,,
2022,7,1,AA,LAX,CA,HNL,HI,-4,0,-3,0,0,,0,,,,,
2022,7,1,AA,LAX,CA,HNL,HI,-4,0,2,2,0,,0,,,,,
2022,7,1,AA,LAX,CA,KOA,HI,-6,0,-1,0,0,,0,,,,,
2022,7,1,AA,LAX,CA,KOA,HI,-3,0,6,6,0,,0,,,,,
2022,7,1,AA,LAX,CA,LIH,HI,0,0,-1,0,0,,0,,,,,
2022,7,1,AA,LAX,CA,LIH,HI,13,13,19,19,0,,0,13,0,6,0,0
2022,7,1,AA,LAX,CA,OGG,HI,-4,0,-3,0,0,,0,,,,,
2022,7,1,AA,LAX,CA,OGG,HI,76,76,67,67,0,,0,67,0,0,0,0
2022,7,1,AA,LIH,HI,LAX,CA,-2,0,-17,0,0,,0,,,,,
2022,7,1,AA,LIH,HI,LAX,CA,-1,0,-12,0,0,,0,,,,,
2022,7,1,AA,LIH,HI,PHX,AZ,-11,0,-21,0,0,,0,,,,,
2022,7,1,AA,OGG,HI,DFW,TX,-7,0,-31,0,0,,0,,,,,
2022,7,1,AA,OGG,HI,DFW,TX,-6,0,-29,0,0,,0,,,,,
2022,7,1,AA,OGG,HI,LAX,CA,-4,0,-15,0,0,,0,,,,,
2022,7,1,AA,OGG,HI,LAX,CA,19,19,13,13,0,,0,,,,,
2022,7,1,AA,OGG,HI,PHX,AZ,-11,0,-30,0,0,,0,,,,,
2022,7,1,AA,OGG,HI,PHX,AZ,19,19,6,6,0,,0,,,,,
2022,7,1,AA,PHX,AZ,HNL,HI,-3,0,12,12,0,,0,,,,,
2022,7,1,AA,PHX,AZ,HNL,HI,0,0,1,1,0,,0,,,,,
2022,7,1,AA,PHX,AZ,KOA,HI,15,15,24,24,0,,0,15,0,9,0,0
2022,7,1,AA,PHX,AZ,LIH,HI,-10,0,-1,0,0,,0,,,,,
2022,7,1,AA,PHX,AZ,OGG,HI,-7,0,1,1,0,,0,,,,,
2022,7,1,AA,PHX,AZ,OGG,HI,32,32,20,20,0,,0,17,0,0,0,3
2022,7,1,AS,HNL,HI,LAX,CA,107,107,97,97,0,,0,0,0,0,0,97
2022,7,1,AS,HNL,HI,PDX,OR,-3,0,13,13,0,,0,,,,,
2022,7,1,AS,HNL,HI,SAN,CA,3,3,18,18,0,,0,0,0,18,0,0
2022,7,1,AS,HNL,HI,SEA,WA,-11,0,3,3,0,,0,,,,,
2022,7,1,AS,HNL,HI,SEA,WA,-8,0,-5,0,0,,0,,,,,
2022,7,1,AS,HNL,HI,SEA,WA,71,71,84,84,0,,0,71,0,13,0,0
2022,7,1,AS,HNL,HI,SFO,CA,1,1,3,3,0,,0,,,,,
2022,7,1,AS,HNL,HI,SJC,CA,309,309,282,282,0,,0,282,0,0,0,0
2022,7,1,AS,KOA,HI,SAN,CA,-12,0,-15,0,0,,0,,,,,
2022,7,1,AS,KOA,HI,SEA,WA,-10,0,-1,0,0,,0,,,,,
2022,7,1,AS,KOA,HI,SEA,WA,7,7,21,21,0,,0,1,0,14,0,6
2022,7,1,AS,KOA,HI,SEA,WA,25,25,29,29,0,,0,0,0,4,0,25
2022,7,1,AS,KOA,HI,SJC,CA,-7,0,-28,0,0,,0,,,,,
2022,7,1,AS,LAX,CA,HNL,HI,-6,0,8,8,0,,0,,,,,
2022,7,1,AS,LAX,CA,OGG,HI,-11,0,-10,0,0,,0,,,,,
2022,7,1,AS,LIH,HI,SAN,CA,-3,0,19,19,0,,0,0,0,19,0,0
2022,7,1,AS,LIH,HI,SEA,WA,-6,0,11,11,0,,0,,,,,
2022,7,1,AS,LIH,HI,SEA,WA,2,2,17,17,0,,0,0,0,17,0,0
2022,7,1,AS,LIH,HI,SJC,CA,56,56,40,40,0,,0,40,0,0,0,0
